epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68431,1.29024,3.4455,1.45305,0.00672,1,0.14102,0.05727,1.20713,2.95649,1.41074,0.0982,0.0002,0.0002
2,8.81868,1.34988,3.31243,1.49246,0.00536,0.8,0.43063,0.18441,1.32441,3.49461,1.36362,0.0954901,0.0004901,0.0004901
3,9.72045,1.12891,2.02663,1.26021,0.00823,1,0.49698,0.27781,1.3872,3.25775,1.33784,0.0927683,0.00076832,0.00076832
4,10.6468,1.05076,1.50959,1.14716,0.00657,0.95,0.3315,0.13465,2.01346,2.89684,1.91631,0.0900347,0.00103466,0.00103466
5,11.4631,1.12539,1.45163,1.11469,0.00282,0.35,0.00432,0.0011,3.23535,3.30331,3.21738,0.0872891,0.00128912,0.00128912
6,12.2401,1.0418,1.13521,1.08469,0.00278,0.4,0.01165,0.00296,2.2621,3.53346,2.97129,0.0845317,0.0015317,0.0015317
7,13.0248,1.19125,1.46052,1.30753,0.53327,0.2,0.02966,0.0076,1.65248,4.05953,1.96097,0.0817624,0.0017624,0.0017624
8,13.7704,0.93612,1.08427,1.10296,0.52376,0.1,0.01819,0.0061,2.36635,3.57895,2.72405,0.0789812,0.00198122,0.00198122
9,14.5368,0.98183,1.03173,1.09327,0.50413,0.45,0.00627,0.00202,2.72897,3.80009,2.68191,0.0761882,0.00218816,0.00218816
10,15.4372,0.89745,1.17333,1.11014,0.50843,0.05,0.02321,0.01339,2.78014,4.32503,3.24311,0.0733832,0.00238322,0.00238322
11,16.413,0.93993,1.02362,1.08576,0.50912,0.4,0.02831,0.00719,3.07345,34.5018,3.93272,0.0705664,0.0025664,0.0025664
12,17.1605,0.93469,0.91385,1.04843,0.50645,0.1,0.01664,0.00567,2.6476,118.631,3.82334,0.0677377,0.0027377,0.0027377
13,18.0017,1.01215,1.00709,1.11843,0.51148,0.35,0.01034,0.00303,3.02789,195.454,4.15046,0.0648971,0.00289712,0.00289712
14,18.7943,0.86123,0.81277,1.03606,0.5068,0.1,0.00607,0.00086,3.48294,201.182,5.32707,0.0620447,0.00304466,0.00304466
15,19.5149,0.98768,1.08767,1.13605,0.5068,0.1,0.00607,0.00086,3.84151,210.647,9.06452,0.0591803,0.00318032,0.00318032
16,20.3264,0.98066,0.89751,1.143,0.5068,0.1,0.00607,0.00086,3.42033,562.088,9.35808,0.0563041,0.0033041,0.0033041
17,21.0669,0.89809,0.83882,1.07186,0.00017,0.05,0.0001,1e-05,3.47624,inf,10.565,0.053416,0.003416,0.003416
18,21.7254,0.99639,0.91884,1.10084,0.0005,0.15,0.00077,9e-05,3.12537,inf,11.4386,0.050516,0.00351602,0.00351602
19,22.5219,0.90502,0.79928,1.06226,0.00033,0.1,0.00024,3e-05,3.59068,inf,12.5406,0.0476042,0.00360416,0.00360416
20,23.2828,0.90202,0.78002,1.05185,0.00068,0.2,0.00083,0.00011,3.99018,inf,12.6733,0.0446804,0.00368042,0.00368042
21,23.962,0.89233,0.79813,1.01225,0.2345,0.4,0.17376,0.0261,3.41411,615.301,8.22947,0.0417448,0.0037448,0.0037448
22,24.706,0.89903,0.73474,1.09564,0.30025,0.4,0.3003,0.11383,2.93042,350.229,7.25485,0.0387973,0.0037973,0.0037973
23,25.3643,0.83061,0.71509,0.99046,0.2813,0.3,0.17426,0.08195,2.89385,273.216,9.2497,0.0358379,0.00383792,0.00383792
24,26.0448,0.83478,0.76428,1.06093,0.07112,0.45,0.06501,0.03135,2.81531,185.781,8.85556,0.0328667,0.00386666,0.00386666
25,26.7553,1.09095,0.82825,1.18149,0.10626,0.4,0.06219,0.0387,2.41991,132.425,7.39854,0.0298835,0.00388352,0.00388352
26,27.5104,0.84509,0.67159,1.00941,0.20322,0.44963,0.13155,0.07563,2.28847,61.8693,5.21286,0.0268885,0.0038885,0.0038885
27,28.2477,0.87577,0.70575,1.0424,0.25882,0.7,0.23972,0.0915,2.19885,14.5538,2.97412,0.0238816,0.0038816,0.0038816
28,28.916,0.73761,0.70483,1.01917,0.10423,0.614,0.13825,0.07187,1.92695,5.97368,2.07217,0.0208628,0.00386282,0.00386282
29,29.5838,0.76409,0.69805,1.02469,0.10423,0.614,0.13825,0.07187,1.92695,5.97368,2.07217,0.0178322,0.00383216,0.00383216
30,30.3313,0.95477,0.74977,1.11553,0.40006,0.85,0.42524,0.20894,1.50935,6.25973,1.63427,0.0147896,0.00378962,0.00378962
31,31.0612,0.88323,0.71746,1.06364,0.39541,0.95,0.47006,0.35201,1.28853,9.54569,1.48221,0.0117352,0.0037352,0.0037352
32,31.7695,0.85522,0.73683,1.06262,0.50475,0.95,0.54909,0.42556,1.32082,15.3262,1.48813,0.0086689,0.0036689,0.0036689
33,32.4678,0.74107,0.70509,0.95789,0.50475,0.95,0.54909,0.42556,1.32082,15.3262,1.48813,0.00559072,0.00359072,0.00359072
34,33.1504,0.88288,0.65041,1.08681,0.46078,1,0.54206,0.38261,1.52324,20.8969,1.60839,0.003466,0.003466,0.003466
35,33.8921,0.71237,0.61512,0.98625,0.4245,0.95,0.50199,0.36116,1.44159,20.9388,1.51633,0.003268,0.003268,0.003268
36,34.6801,0.74684,0.6069,0.99098,0.52481,0.95,0.52863,0.41793,1.20768,15.6444,1.34083,0.00307,0.00307,0.00307
37,35.4657,0.77795,0.65257,1.00231,0.52481,0.95,0.52863,0.41793,1.20768,15.6444,1.34083,0.002872,0.002872,0.002872
38,36.2594,0.71967,0.60327,0.95851,0.54726,0.95,0.59267,0.47351,1.02771,7.47238,1.16845,0.002674,0.002674,0.002674
39,36.9754,0.77705,0.69965,1.04441,0.62428,0.75,0.74134,0.59631,0.89458,4.0103,1.0931,0.002476,0.002476,0.002476
40,37.7547,0.68505,0.61214,0.97556,0.62466,0.78339,0.692,0.57495,0.81959,2.60073,1.04533,0.002278,0.002278,0.002278
41,66.2137,0.63191,0.60066,0.94861,0.62466,0.78339,0.692,0.57495,0.81959,2.60073,1.04533,0.00208,0.00208,0.00208
42,67.0417,0.63792,0.59741,0.9417,0.60244,1,0.6987,0.58611,0.74662,1.98509,0.99153,0.001882,0.001882,0.001882
43,67.8147,0.5972,0.5473,0.91743,0.66638,0.89589,0.82131,0.70717,0.70667,1.39402,0.98945,0.001684,0.001684,0.001684
44,68.5834,0.55396,0.55968,0.87351,0.72849,1,0.95215,0.80759,0.68732,0.91274,0.99361,0.001486,0.001486,0.001486
45,69.3312,0.61995,0.52452,0.91565,0.72849,1,0.95215,0.80759,0.68732,0.91274,0.99361,0.001288,0.001288,0.001288
